CODIGO_CARRERA,AVERAGE_CIEN,AVERAGE_M1,AVERAGE_M2,AVERAGE_HCS
26040,24,29,10,27
26045,28,29,9,22
26047,25,28,10,25
26050,27,26,15,34
26052,24,25,9,21
26054,21,26,17,30
26055,0,33,0,42
26059,29,27,12,25
26060,33,29,10,29
26063,26,27,9,19
26066,37,37,22,19
26070,24,41,22,20
26071,26,25,11,24
26073,37,46,16,27
26080,30,26,0,33
26082,21,25,6,27
26083,28,28,8,28
26084,29,30,11,31
26092,27,28,9,28
26093,26,27,10,29
26094,26,29,10,21
26095,22,28,11,20
26096,22,24,12,23
26097,26,23,14,27
26099,25,30,10,25
26300,24,27,11,23
26301,25,30,10,25
26302,26,27,10,23
26303,23,27,10,34
26305,30,26,0,28
27001,29,34,12,24
27003,26,30,11,21
27004,30,34,12,27
27005,30,34,12,27
27009,31,33,11,29
27020,33,33,11,31
27021,23,27,10,23
27022,28,28,12,27
27023,23,26,9,24
27027,21,30,11,29
27028,22,24,10,23
27037,23,28,11,22
27040,28,27,11,32
27043,22,22,10,23
27050,28,30,11,23
27051,25,25,10,20
27052,30,31,12,26
27063,28,31,11,26
27070,60,53,26,44
27080,32,31,11,25
29001,34,39,14,34
29004,28,33,11,29
29005,25,34,12,22
29010,23,24,11,26
29015,34,34,16,26
29018,27,37,12,19
29019,33,37,13,30
29020,33,42,15,29
29021,31,37,13,28
29026,28,36,13,24
29027,39,44,17,30
29028,29,35,13,25
29029,32,38,13,25
29030,29,31,11,25
29032,28,31,10,24
29037,30,35,14,25
29045,23,30,11,24
29049,27,34,11,27
29051,30,32,12,24
29052,42,41,12,25
29054,31,31,11,22
29055,26,28,10,24
29057,38,43,18,31
29059,31,38,13,29
29061,47,47,17,33
29063,31,38,14,31
29064,29,30,11,29
29065,62,57,27,41
29066,26,29,11,29
29067,34,34,13,36
29068,40,38,14,27
29069,27,27,12,21
29071,26,30,12,26
29072,26,28,10,30
29073,30,30,11,27
29076,28,31,11,31
29077,28,27,10,27
29078,28,31,9,40
29080,24,27,10,24
29082,26,30,11,26
29086,31,40,15,32
30000,27,35,10,28
30007,29,36,13,23
30012,33,40,14,25
30013,39,46,18,31
30020,45,45,15,29
30021,30,29,10,25
30022,32,32,11,29
30023,38,39,14,29
30024,57,52,21,41
30026,68,59,34,44
30029,33,35,13,26
30032,49,47,15,31
30033,44,44,16,30
30035,44,44,15,31
30037,35,35,11,29
30038,44,42,17,25
30039,30,34,12,40
30044,25,29,10,28
30047,25,27,10,24
30050,24,27,10,27
30055,27,29,11,37
30056,30,31,13,27
30058,30,42,16,27
30060,36,36,15,31
30064,42,41,17,37
30065,30,30,14,32
30066,25,28,12,28
30068,41,42,14,27
30069,35,33,12,25
30070,33,34,11,26
30073,46,44,14,35
30074,37,43,16,31
30076,40,45,19,31
30077,36,43,15,33
30078,40,50,23,34
30079,32,35,12,26
30085,33,42,15,34
30086,37,43,15,32
30090,35,37,12,26
30091,28,35,12,38
30092,21,28,11,32
30094,40,49,20,27
30095,41,47,20,35
30096,35,40,15,25
32001,27,31,11,26
32002,26,28,9,21
32003,29,35,13,26
32005,26,26,10,22
32006,30,36,13,23
32007,28,32,13,25
32011,27,33,12,27
32012,29,32,12,26
32014,19,28,0,39
32016,28,33,13,26
32018,30,34,11,22
32023,26,29,13,26
32025,30,29,14,15
32026,29,30,11,27
32027,29,30,11,23
32028,29,31,11,26
32029,25,27,11,24
32034,25,28,5,38
32037,35,41,15,34
32039,23,27,11,23
32042,25,29,10,29
32043,30,28,0,33
32045,24,26,10,23
32048,23,26,9,25
32051,22,25,9,22
32055,27,32,11,26
32059,25,27,8,26
